"","county","year","month","temp_avg","temp_min","temp_max","precip"
"6834","Dutchess",2014,1,54.5,44.7,64.3,"4.49"
"6835","Erie",2014,1,51.9,42.9,60.9,"3.83"
"6836","Essex",2014,1,47.6,39.4,55.9,"4.25"
"6837","Franklin",2014,1,48.1,39.8,56.2,"3.74"
"6838","Fulton",2014,1,50.4,41.8,58.9,"3.23"
"6839","Genesee",2014,1,52.2,43.1,61.3,"2.73"
"6840","Greene",2014,1,51.2,42,60.3,"5.9"
"6841","Hamilton",2014,1,46.9,38.3,55.6,"4.36"
"6842","Herkimer",2014,1,49.3,40.5,58.2,"5.55"
"6843","Jefferson",2014,1,52.4,44.5,60.3,"3.78"
"6844","Kings",2014,1,59.6,52.4,66.8,"4.6"
"6845","Lewis",2014,1,49.7,41.1,58.2,"4.68"
"6846","Livingston",2014,1,52.3,43.2,61.4,"2.49"
"6847","Madison",2014,1,51.5,43,60,"4.98"
"6848","Monroe",2014,1,53.6,45.1,62,"2.28"
"6849","Montgomery",2014,1,52.1,43,61.2,"3.58"
"6850","Nassau",2014,1,58.4,50.6,66.3,"3.99"
"6851","New York",2014,1,59.3,52,66.6,"4.78"
"6852","Niagara",2014,1,52.9,45,60.8,"2.48"
"6853","Oneida",2014,1,51.6,42.7,60.4,"5.19"
"6854","Onondaga",2014,1,52.8,44.1,61.5,"4.15"
"6855","Ontario",2014,1,52.6,44,61,"2.93"
"6856","Orange",2014,1,54.7,44.8,64.5,"3.88"
"6857","Orleans",2014,1,53,44.7,61.4,"2.34"
"6858","Oswego",2014,1,52.7,44,61.4,"4.15"
"6859","Otsego",2014,1,50.5,41.5,59.5,"5.61"
"6860","Putnam",2014,1,55.2,45.7,64.7,"4.36"
"6861","Queens",2014,1,59.1,51.6,66.6,"4.37"
"6862","Rensselaer",2014,1,52.8,44.1,61.5,"4.4"
"6863","Richmond",2014,1,59.2,51.4,67,"4.63"
"6864","Rockland",2014,1,56.2,46.7,65.6,"4.47"
"6865","Saratoga",2014,1,52.1,43.6,60.6,"3.34"
"6866","Schenectady",2014,1,52.7,43.9,61.5,"3.42"
"6867","Schoharie",2014,1,50.6,41.4,59.8,"3.69"
"6868","Schuyler",2014,1,51.4,42.6,60.3,"4.13"
"6869","Seneca",2014,1,52.9,44.4,61.5,"2.63"
"6870","St. Lawrence",2014,1,50.4,42.2,58.5,"2.74"
"6871","Steuben",2014,1,50.6,40.9,60.3,"2.65"
"6872","Suffolk",2014,1,57.3,49.2,65.4,"4.45"
"6873","Sullivan",2014,1,51.5,41.9,61,"4.9"
"6874","Tioga",2014,1,51,41.5,60.5,"3.05"
"6875","Tompkins",2014,1,51.2,42.4,60,"2.93"
"6876","Ulster",2014,1,52.2,43,61.5,"5.24"
"6877","Warren",2014,1,49.7,41.3,58.1,"3.72"
"6878","Washington",2014,1,52.4,43.5,61.4,"3.87"
"6879","Wayne",2014,1,53.4,45.3,61.6,"2.9"
"6880","Westchester",2014,1,56.3,46.9,65.7,"4.59"
"6881","Wyoming",2014,1,50.6,41.4,59.8,"3.17"
"6882","Yates",2014,1,52.1,43.5,60.8,"2.74"
"6883","Albany",2014,1,61.8,50.3,73.3,"1.35"
"6884","Allegany",2014,1,59.2,47.6,70.8,"2.57"
"6885","Bronx",2014,1,69,60.4,77.6,"1.23"
"6886","Broome",2014,1,60.6,49.2,71.9,"2.1"
"6887","Cattaraugus",2014,1,59.3,48.4,70.2,"4.06"
"6888","Cayuga",2014,1,60.9,50.3,71.5,"2.39"
"6889","Chautauqua",2014,1,60.6,50.7,70.5,"3.73"
"6890","Chemung",2014,1,60.6,49.4,71.8,"1.86"
"6891","Chenango",2014,1,59.5,48.3,70.8,"2.41"
"6892","Clinton",2014,1,58.3,47.6,68.9,"1.06"
"6893","Columbia",2014,1,62.4,50.8,74,"1.26"
"6894","Cortland",2014,1,59,48.1,69.8,"2.55"
"6895","Delaware",2014,1,59.1,47.4,70.8,"2.13"
"6896","Dutchess",2014,1,63.8,51.7,75.8,"0.88"
"6897","Erie",2014,1,61.4,51.1,71.8,"3.17"
"6898","Essex",2014,1,56.5,45.2,67.8,"1.91"
"6899","Franklin",2014,1,56.9,45.6,68.1,"2.32"
"6900","Fulton",2014,1,59.3,48,70.7,"2.15"
"6901","Genesee",2014,1,61.5,50.8,72.3,"1.62"
"6902","Greene",2014,1,60.2,48.4,72,"1.34"
"6903","Hamilton",2014,1,55.5,44,67.1,"2.56"
"6904","Herkimer",2014,1,57.9,46.5,69.4,"2.74"
"6905","Jefferson",2014,1,60.3,50.1,70.4,"2.38"
"6906","Kings",2014,1,69.6,61.3,77.8,"1.42"
"6907","Lewis",2014,1,57.5,46.4,68.6,"2.55"
"6908","Livingston",2014,1,61.2,50.2,72.2,"1.58"
"6909","Madison",2014,1,59.8,48.8,70.7,"2.4"
"6910","Monroe",2014,1,62.7,52.2,73.3,"1.37"
"6911","Montgomery",2014,1,61.5,49.7,73.3,"2.12"
"6912","Nassau",2014,1,68.3,59.5,77,"1.84"
"6913","New York",2014,1,69.4,60.8,77.9,"1.34"
"6914","Niagara",2014,1,62.6,52.9,72.3,"2.98"
"6915","Oneida",2014,1,59.9,48.4,71.3,"2.91"
"6916","Onondaga",2014,1,61.2,50.1,72.4,"2.23"
"6917","Ontario",2014,1,61.4,50.5,72.2,"1.61"
"6918","Orange",2014,1,63.6,52,75.3,"1.07"
"6919","Orleans",2014,1,62.3,52,72.6,"1.53"
"6920","Oswego",2014,1,60.7,49.8,71.6,"2.34"
"6921","Otsego",2014,1,59.3,47.9,70.6,"2.61"
"6922","Putnam",2014,1,64.3,53.1,75.5,"1.07"
"6923","Queens",2014,1,69.1,60.6,77.6,"1.44"
"6924","Rensselaer",2014,1,61.1,49.7,72.6,"1.2"
"6925","Richmond",2014,1,69.2,60.3,78.2,"1.54"
"6926","Rockland",2014,1,66,55.2,76.8,"1.1"
"6927","Saratoga",2014,1,60.7,49.3,72,"2.33"
"6928","Schenectady",2014,1,61.5,50,73,"1.68"
"6929","Schoharie",2014,1,59.7,48,71.4,"1.51"
"6930","Schuyler",2014,1,60.4,50,70.8,"2.22"
"6931","Seneca",2014,1,61.8,51.2,72.5,"1.95"
"6932","St. Lawrence",2014,1,58.8,47.9,69.7,"2.05"
"6933","Steuben",2014,1,59.5,48.6,70.3,"2"
"6934","Suffolk",2014,1,66.8,57.9,75.6,"1.69"
"6935","Sullivan",2014,1,60.4,48.9,71.9,"1.26"
"6936","Tioga",2014,1,60.4,49.2,71.6,"2.08"
"6937","Tompkins",2014,1,60.1,49.4,70.8,"2.44"
"6938","Ulster",2014,1,61.6,50,73.2,"1.12"
"6939","Warren",2014,1,58.2,46.9,69.6,"2.08"
"6940","Washington",2014,1,60.7,49,72.4,"1.4"
"6941","Wayne",2014,1,62.2,51.9,72.4,"1.81"
"6942","Westchester",2014,1,66.1,55.5,76.7,"1.07"
"6943","Wyoming",2014,1,59.5,49,70.1,"2.07"
"6944","Yates",2014,1,61.1,50.3,71.8,"1.79"
"6945","Albany",2014,1,66.7,56.1,77.3,"2.02"
"6946","Allegany",2014,1,63.8,51.5,76.2,"3.76"
"6947","Bronx",2014,1,73.8,65.2,82.5,"2.85"
"6948","Broome",2014,1,65,54.2,75.9,"4.45"
"6949","Cattaraugus",2014,1,63.8,52.4,75.2,"4.56"
"6950","Cayuga",2014,1,65.9,56.2,75.6,"4.93"
"6951","Chautauqua",2014,1,65.6,55.4,75.8,"3.76"
"6952","Chemung",2014,1,64.6,53.6,75.7,"4.09"
"6953","Chenango",2014,1,64.3,53.5,75,"4.44"
"6954","Clinton",2014,1,64.1,54.9,73.4,"3.36"
"6955","Columbia",2014,1,67.7,56.4,78.9,"2.46"
"6956","Cortland",2014,1,63.7,53.3,74.1,"5.07"
"6957","Delaware",2014,1,63,51.7,74.4,"2.33"
"6958","Dutchess",2014,1,69.1,57.8,80.3,"2.85"
"6959","Erie",2014,1,67,57.2,76.9,"2.71"
"6960","Essex",2014,1,62.2,52.1,72.3,"4.44"
"6961","Franklin",2014,1,62.8,52.3,73.3,"3.92"
"6962","Fulton",2014,1,64.1,53.5,74.7,"4.18"
"6963","Genesee",2014,1,66.9,57.2,76.6,"2.68"
"6964","Greene",2014,1,64.7,53.6,75.7,"2.09"
"6965","Hamilton",2014,1,61.1,50.5,71.7,"4.42"
"6966","Herkimer",2014,1,63.1,52.4,73.9,"4.48"
"6967","Jefferson",2014,1,66.5,56.9,76.2,"5.11"
"6968","Kings",2014,1,74.1,65.7,82.4,"2.77"
"6969","Lewis",2014,1,63.4,53.1,73.6,"4.22"
"6970","Livingston",2014,1,66.3,56,76.6,"3.41"
"6971","Madison",2014,1,65,54.8,75.1,"4.96"
"6972","Monroe",2014,1,67.9,58.8,77,"2.63"
"6973","Montgomery",2014,1,66,54.9,77.2,"3.01"
"6974","Nassau",2014,1,72.9,64,81.7,"4.84"
"6975","New York",2014,1,74.1,65.5,82.8,"2.51"
"6976","Niagara",2014,1,68.5,59.7,77.3,"1.75"
"6977","Oneida",2014,1,65.3,54.8,75.8,"4.76"
"6978","Onondaga",2014,1,66.5,56.5,76.6,"4.51"
"6979","Ontario",2014,1,66.6,57,76.1,"3.25"
"6980","Orange",2014,1,68.5,57.3,79.8,"2.01"
"6981","Orleans",2014,1,67.7,58.8,76.6,"2.64"
"6982","Oswego",2014,1,66.4,56.5,76.2,"4.3"
"6983","Otsego",2014,1,63.4,52.6,74.3,"3.13"
"6984","Putnam",2014,1,69.3,58.8,79.8,"3.08"
"6985","Queens",2014,1,73.7,65.2,82.3,"3.47"
"6986","Rensselaer",2014,1,66.5,55.7,77.2,"2.15"
"6987","Richmond",2014,1,73.4,64.2,82.5,"2.16"
"6988","Rockland",2014,1,70.8,60.1,81.5,"2.29"
"6989","Saratoga",2014,1,66.2,56,76.4,"4.74"
"6990","Schenectady",2014,1,66.7,56.1,77.2,"3.5"
"6991","Schoharie",2014,1,63.9,52.8,75.1,"2.47"
"6992","Schuyler",2014,1,64.8,54.4,75.2,"2.18"
"6993","Seneca",2014,1,66.7,56.9,76.4,"4.34"
"6994","St. Lawrence",2014,1,64.8,54.3,75.4,"4.46"
"6995","Steuben",2014,1,64.3,52.4,76.1,"3.84"
"6996","Suffolk",2014,1,70.7,61.5,79.9,"3.39"
"6997","Sullivan",2014,1,64.5,53.3,75.7,"2.54"
"6998","Tioga",2014,1,64.7,53.8,75.6,"3.87"
"6999","Tompkins",2014,1,64.4,53.8,74.9,"5.05"
"7000","Ulster",2014,1,66.2,55.4,77.1,"1.75"
"7001","Warren",2014,1,64.1,54,74.1,"4.23"
"7002","Washington",2014,1,66.6,55.8,77.3,"2.91"
"7003","Wayne",2014,1,67.5,58.7,76.3,"4.06"
"7004","Westchester",2014,1,71,60.6,81.3,"2.6"
"7005","Wyoming",2014,1,64.6,54.8,74.3,"3.57"
"7006","Yates",2014,1,66.1,56.2,76,"3.52"
"7007","Albany",2014,1,69.7,58.8,80.5,"5.98"
"7008","Allegany",2014,1,65.2,53.9,76.4,"4.62"
"7009","Bronx",2014,1,76.1,67.6,84.5,"5.04"
"7010","Broome",2014,1,67.9,56.9,78.8,"4.05"
"7011","Cattaraugus",2014,1,64.9,54.2,75.5,"5.87"
"7012","Cayuga",2014,1,68,58.1,78,"4.74"
"7013","Chautauqua",2014,1,66.1,56.9,75.3,"5.63"
"7014","Chemung",2014,1,67.4,56.2,78.6,"2.82"
"7015","Chenango",2014,1,66.9,56,77.8,"5.32"
"7016","Clinton",2014,1,66.2,56.4,76.1,"4.91"
"7017","Columbia",2014,1,71,59.9,82.2,"7.35"
"7018","Cortland",2014,1,66.5,56.1,76.9,"4.68"
"7019","Delaware",2014,1,66.2,55,77.5,"5.84"
"7020","Dutchess",2014,1,72,61.6,82.3,"6.12"
"7021","Erie",2014,1,67.2,57.8,76.6,"6.33"
"7022","Essex",2014,1,64.5,53.3,75.8,"5.39"
"7023","Franklin",2014,1,64.6,53.9,75.3,"4.47"
"7024","Fulton",2014,1,66.8,56,77.7,"5.66"
"7025","Genesee",2014,1,67.5,58.1,77,"6.64"
"7026","Greene",2014,1,68.1,56.8,79.5,"5.4"
"7027","Hamilton",2014,1,63,51.9,74.1,"4.97"
"7028","Herkimer",2014,1,64.8,53.9,75.8,"5.92"
"7029","Jefferson",2014,1,67.7,58.3,77,"4.84"
"7030","Kings",2014,1,76.2,68.2,84.2,"5.2"
"7031","Lewis",2014,1,64.8,54.5,75.1,"5.26"
"7032","Livingston",2014,1,67.6,57.6,77.5,"6.39"
"7033","Madison",2014,1,67.3,56.8,77.8,"5.85"
"7034","Monroe",2014,1,68.8,59.9,77.7,"7.02"
"7035","Montgomery",2014,1,69.3,57.9,80.6,"5.7"
"7036","Nassau",2014,1,75,66.6,83.3,"4.45"
"7037","New York",2014,1,76.4,68.1,84.7,"5.22"
"7038","Niagara",2014,1,68.3,59.5,77,"5.91"
"7039","Oneida",2014,1,67.5,56.7,78.3,"5.61"
"7040","Onondaga",2014,1,68.6,58.3,78.9,"5.14"
"7041","Ontario",2014,1,68.2,58.7,77.8,"7.31"
"7042","Orange",2014,1,71.8,61.7,81.9,"5.08"
"7043","Orleans",2014,1,67.8,59.1,76.4,"5.82"
"7044","Oswego",2014,1,68,58,78,"5.35"
"7045","Otsego",2014,1,66.1,54.9,77.2,"6.88"
"7046","Putnam",2014,1,72.3,63,81.7,"5.22"
"7047","Queens",2014,1,75.7,67.5,84,"4.79"
"7048","Rensselaer",2014,1,69.6,58.8,80.4,"6.81"
"7049","Richmond",2014,1,76,67.4,84.6,"5.8"
"7050","Rockland",2014,1,73.8,63.8,83.7,"5.98"
"7051","Saratoga",2014,1,69.2,58.8,79.7,"4.22"
"7052","Schenectady",2014,1,69.7,59.1,80.3,"5.57"
"7053","Schoharie",2014,1,67,55.6,78.4,"5.69"
"7054","Schuyler",2014,1,67.2,56.8,77.7,"5.39"
"7055","Seneca",2014,1,68.9,58.9,78.9,"4.2"
"7056","St. Lawrence",2014,1,66,56,76,"5.46"
"7057","Steuben",2014,1,66.2,55.1,77.2,"3.78"
"7058","Suffolk",2014,1,73.3,65.5,81.2,"2.85"
"7059","Sullivan",2014,1,67.9,56.9,78.9,"6.18"
"7060","Tioga",2014,1,67.7,56.7,78.6,"3.55"
"7061","Tompkins",2014,1,67.5,57.1,77.9,"4.03"
"7062","Ulster",2014,1,69.1,58.5,79.7,"6.06"
"7063","Warren",2014,1,66.7,56,77.5,"4.77"
"7064","Washington",2014,1,69.9,59,80.8,"5.48"
"7065","Wayne",2014,1,69.1,59.8,78.3,"5.34"
"7066","Westchester",2014,1,73.7,64.2,83.2,"6.21"
"7067","Wyoming",2014,1,65.8,56.2,75.4,"6.21"
"7068","Yates",2014,1,68,58.2,77.8,"6.4"
"7069","Albany",2014,1,66.2,54.7,77.6,"5.49"
"7070","Allegany",2014,1,64.8,52.1,77.4,"4.94"
"7071","Bronx",2014,1,71.9,62.9,80.8,"3.87"
"7072","Broome",2014,1,65.6,54.1,77,"4.6"
"7073","Cattaraugus",2014,1,64.5,52,77,"5.54"
"7074","Cayuga",2014,1,65.8,55,76.6,"4.34"
"7075","Chautauqua",2014,1,66,55,77,"6.1"
"7076","Chemung",2014,1,65.4,53.9,77,"4.14"
"7077","Chenango",2014,1,64.1,52.7,75.5,"5.2"
"7078","Clinton",2014,1,64.1,53.4,74.7,"5.37"
"7079","Columbia",2014,1,67.1,55.6,78.6,"6.41"
"7080","Cortland",2014,1,64,53.3,74.8,"5.63"
"7081","Delaware",2014,1,62.7,50.8,74.5,"6.59"
"7082","Dutchess",2014,1,67.9,56.5,79.2,"3.61"
"7083","Erie",2014,1,67.1,56,78.2,"4.34"
"7084","Essex",2014,1,61.6,49.9,73.3,"5.2"
"7085","Franklin",2014,1,62.6,51,74.1,"5.97"
"7086","Fulton",2014,1,63.7,52.3,75.1,"7.65"
"7087","Genesee",2014,1,67.2,56.6,77.9,"4.08"
"7088","Greene",2014,1,64.3,52.9,75.6,"6.19"
"7089","Hamilton",2014,1,60.3,48.5,72,"6.42"
"7090","Herkimer",2014,1,62.5,50.9,74,"6.65"
"7091","Jefferson",2014,1,66.1,55.5,76.6,"4.31"
"7092","Kings",2014,1,72,63.5,80.5,"3.84"
"7093","Lewis",2014,1,62.8,51.7,74,"6.34"
"7094","Livingston",2014,1,67.5,56.4,78.5,"3.34"
"7095","Madison",2014,1,64.5,53.5,75.5,"4.55"
"7096","Monroe",2014,1,68.2,57.8,78.5,"3.08"
"7097","Montgomery",2014,1,66.1,54,78.2,"6.05"
"7098","Nassau",2014,1,70.7,61.8,79.7,"3.16"
"7099","New York",2014,1,72.3,63.4,81.1,"4.07"
"7100","Niagara",2014,1,68,58.1,78,"3.69"
"7101","Oneida",2014,1,64.6,53.3,76,"6.52"
"7102","Onondaga",2014,1,66.2,55.2,77.3,"4.13"
"7103","Ontario",2014,1,67.1,56.6,77.6,"3.62"
"7104","Orange",2014,1,67.9,57.1,78.7,"3.97"
"7105","Orleans",2014,1,67.3,57.2,77.4,"4.87"
"7106","Oswego",2014,1,65.7,54.7,76.7,"5.44"
"7107","Otsego",2014,1,63.2,51.7,74.7,"5.99"
"7108","Putnam",2014,1,68.2,57.5,78.8,"3.22"
"7109","Queens",2014,1,71.6,62.9,80.4,"3.46"
"7110","Rensselaer",2014,1,66,54.5,77.6,"5.34"
"7111","Richmond",2014,1,71.8,62.6,81,"4.31"
"7112","Rockland",2014,1,69.6,58.8,80.3,"3.94"
"7113","Saratoga",2014,1,65.8,54.9,76.6,"4.9"
"7114","Schenectady",2014,1,66.3,54.8,77.7,"6.08"
"7115","Schoharie",2014,1,63.7,51.7,75.7,"5.57"
"7116","Schuyler",2014,1,65.6,54.6,76.5,"5.44"
"7117","Seneca",2014,1,66.8,55.9,77.7,"4.44"
"7118","St. Lawrence",2014,1,64.8,53.6,75.9,"4.11"
"7119","Steuben",2014,1,65.4,53.8,77.1,"5.1"
"7120","Suffolk",2014,1,68.3,59.1,77.4,"2.13"
"7121","Sullivan",2014,1,64.2,52.8,75.5,"5.87"
"7122","Tioga",2014,1,65.5,54.3,76.7,"4.2"
"7123","Tompkins",2014,1,65,54.2,75.8,"5.32"
"7124","Ulster",2014,1,65.6,54.7,76.6,"5.61"
"7125","Warren",2014,1,63.2,51.9,74.4,"4.91"
"7126","Washington",2014,1,66.1,54.6,77.5,"4.09"
"7127","Wayne",2014,1,67.1,56.7,77.6,"3.29"
"7128","Westchester",2014,1,69.5,59,80,"3.59"
"7129","Wyoming",2014,1,65.3,54.4,76.2,"4.05"
"7130","Yates",2014,1,66.9,56.2,77.5,"4.12"
"7131","Albany",2014,1,58,46.4,69.7,"3.79"
"7132","Allegany",2014,1,56,42.8,69.1,"5.59"
"7133","Bronx",2014,1,62.8,53.9,71.6,"4.48"
"7134","Broome",2014,1,57.6,45.7,69.5,"4.44"
"7135","Cattaraugus",2014,1,55.6,43.6,67.7,"7.01"
"7136","Cayuga",2014,1,57.4,46.8,67.9,"4.43"
"7137","Chautauqua",2014,1,56.6,46.1,67.1,"7.1"
"7138","Chemung",2014,1,57.3,45.7,68.9,"3.51"
"7139","Chenango",2014,1,56.9,45.3,68.4,"4.94"
"7140","Clinton",2014,1,54.9,44.5,65.2,"4.31"
"7141","Columbia",2014,1,58.7,46.8,70.5,"3.77"
"7142","Cortland",2014,1,56,45,66.9,"3.97"
"7143","Delaware",2014,1,55.7,43.4,68,"4.77"
"7144","Dutchess",2014,1,59.6,48.2,71,"3.63"
"7145","Erie",2014,1,56.8,46.1,67.5,"3.82"
"7146","Essex",2014,1,52.8,41.8,63.8,"5.48"
"7147","Franklin",2014,1,53.7,42.2,65.2,"4.69"
"7148","Fulton",2014,1,56.3,45,67.6,"5.26"
"7149","Genesee",2014,1,57.9,47.4,68.4,"3.19"
"7150","Greene",2014,1,56.4,44.2,68.5,"4.38"
"7151","Hamilton",2014,1,52.7,41.2,64.2,"5.61"
"7152","Herkimer",2014,1,55.4,44,66.8,"5.36"
"7153","Jefferson",2014,1,56.8,46.5,67,"4.42"
"7154","Kings",2014,1,63,54.6,71.4,"4.73"
"7155","Lewis",2014,1,55,44.1,66,"4.59"
"7156","Livingston",2014,1,58.7,47.9,69.5,"5.4"
"7157","Madison",2014,1,57.1,46.3,67.9,"4.22"
"7158","Monroe",2014,1,59,49.1,68.8,"3.88"
"7159","Montgomery",2014,1,58.3,46.5,70.1,"4.89"
"7160","Nassau",2014,1,61.7,52.6,70.7,"3.24"
"7161","New York",2014,1,63.2,54.5,72,"4.82"
"7162","Niagara",2014,1,57.3,47.6,66.9,"2.72"
"7163","Oneida",2014,1,57.1,45.8,68.4,"4.42"
"7164","Onondaga",2014,1,58,47.3,68.7,"4.17"
"7165","Ontario",2014,1,58.5,48.2,68.8,"5.53"
"7166","Orange",2014,1,59.9,49.2,70.6,"4.54"
"7167","Orleans",2014,1,58,48,68,"2.37"
"7168","Oswego",2014,1,57.3,46.8,67.8,"3.56"
"7169","Otsego",2014,1,56.4,44.7,68.2,"5.4"
"7170","Putnam",2014,1,59.9,48.9,70.8,"4.53"
"7171","Queens",2014,1,62.6,53.8,71.3,"4.32"
"7172","Rensselaer",2014,1,57.6,46.2,69,"2.84"
"7173","Richmond",2014,1,63,54.1,71.9,"5.56"
"7174","Rockland",2014,1,61,50.5,71.6,"4.79"
"7175","Saratoga",2014,1,57.7,46.4,69,"4.5"
"7176","Schenectady",2014,1,58.1,46.7,69.5,"3.99"
"7177","Schoharie",2014,1,56.2,44.1,68.2,"3.73"
"7178","Schuyler",2014,1,57.3,46.3,68.3,"4.7"
"7179","Seneca",2014,1,58.3,47.5,69.1,"4.57"
"7180","St. Lawrence",2014,1,55.7,44.6,66.7,"4.75"
"7181","Steuben",2014,1,56.9,44.9,68.8,"5.27"
"7182","Suffolk",2014,1,59.6,50.6,68.6,"3.48"
"7183","Sullivan",2014,1,56.7,45.1,68.3,"4.7"
"7184","Tioga",2014,1,57.2,45.6,68.8,"4.15"
"7185","Tompkins",2014,1,56.6,45.6,67.7,"4.13"
"7186","Ulster",2014,1,57.6,46.3,69,"4.5"
"7187","Warren",2014,1,55.3,43.8,66.8,"4.64"
"7188","Washington",2014,1,57.7,45.9,69.4,"3.5"
"7189","Wayne",2014,1,58.4,48.6,68.2,"5.05"
"7190","Westchester",2014,1,60.8,50.1,71.5,"4.76"
"7191","Wyoming",2014,1,56.6,46,67.2,"4.27"
"7192","Yates",2014,1,58.4,47.7,69,"5.28"
"7193","Albany",2014,1,45.5,32.7,58.3,"2.41"
"7194","Allegany",2014,1,44.6,31.3,57.8,"2.69"
"7195","Bronx",2014,1,50.7,40.9,60.5,"7.3"
"7196","Broome",2014,1,44.3,32,56.6,"3.18"
"7197","Cattaraugus",2014,1,43.8,30.8,56.7,"2.99"
"7198","Cayuga",2014,1,44.1,32.6,55.6,"3.44"
"7199","Chautauqua",2014,1,44.8,33,56.5,"3.42"
"7200","Chemung",2014,1,44,31.3,56.6,"2.9"
"7201","Chenango",2014,1,43,30.8,55.3,"2.84"
"7202","Clinton",2014,1,41.1,30.6,51.7,"3.63"
"7203","Columbia",2014,1,46.9,33.8,60,"3.12"
"7204","Cortland",2014,1,42.3,30.6,54,"2.9"
"7205","Delaware",2014,1,42.9,29.9,55.9,"3.15"
"7206","Dutchess",2014,1,48.3,35.7,60.8,"3.84"
"7207","Erie",2014,1,44.8,33.3,56.3,"4.27"
"7208","Essex",2014,1,39.1,27.7,50.5,"3.75"
"7209","Franklin",2014,1,39.7,28.5,50.9,"4.35"
"7210","Fulton",2014,1,42.8,30.7,55,"3.48"
"7211","Genesee",2014,1,44.8,33.4,56.1,"3.66"
"7212","Greene",2014,1,44.2,31.3,57.1,"2.81"
"7213","Hamilton",2014,1,38.2,26.1,50.2,"4.13"
"7214","Herkimer",2014,1,40.8,28.9,52.6,"3.99"
"7215","Jefferson",2014,1,43.1,32.2,53.9,"4.91"
"7216","Kings",2014,1,50.9,41.5,60.3,"6.9"
"7217","Lewis",2014,1,40.6,29.1,52,"4.1"
"7218","Livingston",2014,1,45.1,32.7,57.4,"2.69"
"7219","Madison",2014,1,43.1,31.5,54.8,"3.56"
"7220","Monroe",2014,1,45.4,34.6,56.2,"3.46"
"7221","Montgomery",2014,1,45.2,32.5,57.9,"2.91"
"7222","Nassau",2014,1,49.5,39.6,59.3,"6.5"
"7223","New York",2014,1,51.1,41.4,60.8,"6.96"
"7224","Niagara",2014,1,45.1,34.8,55.4,"4.65"
"7225","Oneida",2014,1,42.9,31.2,54.6,"4.33"
"7226","Onondaga",2014,1,44.2,32.7,55.7,"3.96"
"7227","Ontario",2014,1,44.4,32.4,56.4,"2.67"
"7228","Orange",2014,1,47.9,35.6,60.2,"4.04"
"7229","Orleans",2014,1,45.2,35,55.3,"3.98"
"7230","Oswego",2014,1,44.1,33,55.2,"4.15"
"7231","Otsego",2014,1,43.2,30.8,55.6,"3.1"
"7232","Putnam",2014,1,48.2,36,60.3,"4.56"
"7233","Queens",2014,1,50.3,40.7,59.9,"7.38"
"7234","Rensselaer",2014,1,45.5,33.1,57.8,"2.6"
"7235","Richmond",2014,1,51.2,41.1,61.3,"5.47"
"7236","Rockland",2014,1,49.1,37.2,60.9,"4.55"
"7237","Saratoga",2014,1,44.5,32.4,56.6,"4.19"
"7238","Schenectady",2014,1,45.2,32.8,57.6,"2.95"
"7239","Schoharie",2014,1,43.6,30.5,56.6,"2.54"
"7240","Schuyler",2014,1,43.7,31.3,56,"2.69"
"7241","Seneca",2014,1,44.8,32.9,56.7,"2.91"
"7242","St. Lawrence",2014,1,41.4,30.5,52.3,"3"
"7243","Steuben",2014,1,43.9,30.7,57.2,"2.67"
"7244","Suffolk",2014,1,47.7,38,57.4,"4.33"
"7245","Sullivan",2014,1,44.6,31.7,57.6,"2.67"
"7246","Tioga",2014,1,43.9,31.8,56.1,"2.72"
"7247","Tompkins",2014,1,43.4,31.6,55.2,"2.6"
"7248","Ulster",2014,1,45.9,33.4,58.4,"3.36"
"7249","Warren",2014,1,41.6,29.4,53.7,"3.48"
"7250","Washington",2014,1,44.4,32.2,56.6,"2.76"
"7251","Wayne",2014,1,45.3,34.3,56.2,"3.09"
"7252","Westchester",2014,1,49,37.2,60.8,"5.02"
"7253","Wyoming",2014,1,43.8,32.1,55.4,"3.11"
"7254","Yates",2014,1,44.3,32,56.6,"2.63"
"7255","Albany",2014,1,26,15.6,36.5,"2.81"
"7256","Allegany",2014,1,25.1,13.6,36.6,"2.59"
"7257","Bronx",2014,1,36.5,28.1,44.8,"3.88"
"7258","Broome",2014,1,26,15.8,36.1,"2.68"
"7259","Cattaraugus",2014,1,24.1,12.7,35.5,"2.51"
"7260","Cayuga",2014,1,24.8,15.6,34,"3.36"
"7261","Chautauqua",2014,1,25.4,15,35.7,"2.57"
"7262","Chemung",2014,1,26.3,16.5,36.1,"2.56"
"7263","Chenango",2014,1,24.7,15.2,34.1,"2.75"
"7264","Clinton",2014,1,18.7,8.3,29.1,"2.88"
"7265","Columbia",2014,1,28.3,17.6,38.9,"2.83"
"7266","Cortland",2014,1,23.5,14.2,32.9,"3.15"
"7267","Delaware",2014,1,24.2,13.9,34.6,"2.33"
"7268","Dutchess",2014,1,30.1,19.6,40.7,"2.82"
"7269","Erie",2014,1,25.3,15.1,35.5,"2.65"
"7270","Essex",2014,1,16.6,3.8,29.5,"3.45"
"7271","Franklin",2014,1,16.4,3.9,29,"3.1"
"7272","Fulton",2014,1,22.3,11.5,33.2,"3.33"
"7273","Genesee",2014,1,25.9,15.5,36.3,"2.86"
"7274","Greene",2014,1,25.3,14.4,36.1,"2.93"
"7275","Hamilton",2014,1,16.6,3.4,29.8,"3.83"
"7276","Herkimer",2014,1,19.3,6.9,31.7,"3.31"
