"","county","year","month","temp_avg","temp_min","temp_max","precip"
"105","Richmond",2023,1,45.3,37,53.7,"2.76"
"106","Rockland",2023,1,41.6,32,51.2,"2.8"
"107","Saratoga",2023,1,36.1,27,45.1,"2.39"
"108","Schenectady",2023,1,37.5,28.3,46.7,"2.71"
"109","Schoharie",2023,1,35.9,26.7,45.1,"2.04"
"110","Schuyler",2023,1,37.2,28.3,46.1,"2.11"
"111","Seneca",2023,1,38.3,30.7,45.9,"1.3"
"112","St. Lawrence",2023,1,33.8,26,41.5,"1.7"
"113","Steuben",2023,1,37.5,28.4,46.6,"1.45"
"114","Suffolk",2023,1,43.4,33.6,53.1,"1.92"
"115","Sullivan",2023,1,37,27.5,46.4,"2.15"
"116","Tioga",2023,1,37.5,28.5,46.6,"1.37"
"117","Tompkins",2023,1,36.7,28.5,44.9,"1.48"
"118","Ulster",2023,1,37.7,28.4,47,"2.19"
"119","Warren",2023,1,33.1,24.8,41.5,"3.2"
"120","Washington",2023,1,35.8,26.8,44.8,"2.52"
"121","Wayne",2023,1,38.7,31.1,46.2,"2.06"
"122","Westchester",2023,1,42.2,32.7,51.7,"2.69"
"123","Wyoming",2023,1,37.2,28.9,45.5,"2.21"
"124","Yates",2023,1,38,29.6,46.4,"1.36"
"125","Albany",2023,1,55.4,46.3,64.6,"3.66"
"126","Allegany",2023,1,52,43,61,"2.84"
"127","Bronx",2023,1,60.4,52.5,68.1,"4.14"
"128","Broome",2023,1,53.1,44.1,62.1,"4.07"
"129","Cattaraugus",2023,1,52.1,43.3,60.8,"3.99"
"130","Cayuga",2023,1,53.9,46.1,61.6,"3.46"
"131","Chautauqua",2023,1,53.7,46,61.3,"4.37"
"132","Chemung",2023,1,53.2,43.9,62.4,"2.84"
"133","Chenango",2023,1,52.2,43.5,61,"4.09"
"134","Clinton",2023,1,52.1,44.6,59.6,"5.59"
"135","Columbia",2023,1,55.9,46.6,65.2,"3.68"
"136","Cortland",2023,1,52,43.5,60.5,"4.11"
"137","Delaware",2023,1,51.6,42.2,61,"3.84"
"138","Dutchess",2023,1,56.8,47.3,66.2,"3.76"
"139","Erie",2023,1,54,45.9,62.1,"3.69"
"140","Essex",2023,1,50,41.4,58.5,"6.39"
"141","Franklin",2023,1,50.6,42.2,59,"5.96"
"142","Fulton",2023,1,52.3,42.6,62,"4.78"
"143","Genesee",2023,1,53.6,45.4,61.8,"2.69"
"144","Greene",2023,1,53.6,44.4,62.7,"4.12"
"145","Hamilton",2023,1,48.9,39.6,58.2,"5.1"
"146","Herkimer",2023,1,50.8,41.5,60,"5"
"147","Jefferson",2023,1,52.9,45.8,60.1,"4.8"
"148","Kings",2023,1,60.6,53.1,68.2,"3.85"
"149","Lewis",2023,1,51.1,42.6,59.5,"5.32"
"150","Livingston",2023,1,53.8,45.2,62.4,"2.24"
"151","Madison",2023,1,52.9,44.4,61.5,"4.13"
"152","Monroe",2023,1,54.6,46.8,62.3,"2.01"
"153","Montgomery",2023,1,54.1,44.1,64,"3.83"
"154","Nassau",2023,1,59.5,51.1,67.9,"3.45"
"155","New York",2023,1,60.5,52.9,68.1,"3.99"
"156","Niagara",2023,1,54.2,47.2,61.2,"2.38"
"157","Oneida",2023,1,53.1,44.2,62,"4.51"
"158","Onondaga",2023,1,54.4,46.2,62.5,"3.52"
"159","Ontario",2023,1,53.5,45.3,61.6,"2.29"
"160","Orange",2023,1,56.3,47,65.6,"3.84"
"161","Orleans",2023,1,54.2,46.8,61.6,"2.46"
