"","row_ind","column_ind","values"
"262","MO0957000","y1986_10",-1
"263","CA0070000","y1986_10",-1
"264","CA007230X","y1986_9",-1
"265","VA008SP00","y1986_6",-1
"266","KS0460900","y1986_6",-1
"267","NJ0024600","y1986_5",-1
"268","VA089SP00","y1986_4",-1
"269","NJ0132600","y1986_4",-1
"270","VA128SP00","y1986_2",-1
"271","CO0070000","y1986_2",-1
"272","SC0390200","y1986_1",-1
"273","CO0350300","y1986_1",-1
"274","SC0070000","y1985_12",-1
"275","PA020SP00","y1985_12",-1
"276","MI4183400","y1985_9",-1
"277","CA0196600","y1985_9",-1
"278","CA0302500","y1985_9",-1
"279","OR0100000","y1985_8",-1
"280","NM0140000","y1985_8",-1
"281","NJ0071700","y1985_7",-1
"282","SC0010000","y1985_6",-1
"283","SC0340100","y1985_6",-1
"284","CO0180000","y1985_6",-1
"285","SC0020000","y1985_5",-1
"286","IN0640200","y1985_5",-1
"287","CA007230X","y1985_5",-1
"288","IN0640200","y1985_4",-1
"289","SC0380100","y1985_1",-1
"290","SC0080300","y1985_1",-1
"291","NJ0011900","y1985_1",-1
"292","CA007230X","y1985_1",-1
