,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
TX_robbery,1964,2308,2002,2285,2151,2460,2944,2687,2951,2406,2386,2536,2401,2140,2133,2063,2421,2892,3049,3041,3018,3375,3279,3736,4130,4024,3230,3536,4083,4216,841,887,778,700,747,739,1025,598,518
TX_rape,795,927,850,804,864,926,1033,1272,1803,1419,1214,1206,1058,1148,1041,1140,1155,1221,1251,1300,1261,1297,1272,1240,1096,1081,1155,1179,1063,1457,1269,1221,1534,1718,1928,2080,3100,2401,2397
TX_MotorVehicleTheft,9969,11892,10798,12161,13526,14645,15848,14813,13428,11852,10484,9947,9722,10173,8801,8918,10004,10515,10336,10427,10647,11705,13092,12018,11219,9599,8922,10058,9537,10043,3971,3851,3752,3745,4417,4921,6417,4643,4276
TX_larceny,62494,67769,73329,75035,74428,72395,72555,71326,69124,65571,69222,75790,76374,72527,71990,74440,76870,78084,83079,83950,81969,78233,82359,81124,82537,82425,77082,77954,77156,74435,42497,40505,35714,34062,31245,29323,33838,27706,23815
TX_homicide,353,330,314,305,272,291,327,287,281,287,250,227,196,198,188,164,186,226,221,197,220,203,189,222,223,186,170,179,192,174,116,117,106,128,127,164,193,143,110
TX_bulglary,40448,48001,48449,48667,44557,43524,43995,38222,34535,33482,31421,32359,32843,31444,30398,29841,31107,32797,34169,34394,34200,32673,35056,36041,36816,35716,33093,32346,31025,28617,14890,14416,12616,11295,11137,10713,10328,8495,6999
TX_arson,1089,1284,1201,1208,1212,1339,1379,1407,1223,1237,1244,1346,1153,1191,1263,1217,1274,1270,1266,1046,1079,1026,827,1040,883,769,805,676,554,570,360,288,260,214,210,266,343,265,213
TX_AggravatedAssult,6481,7866,7187,7530,8406,9093,10483,11783,12568,11704,11728,12056,12104,10969,10655,10166,11275,11564,12113,12229,12262,12273,11637,12345,12246,11332,10414,10594,10693,10671,6085,5805,5483,5744,5864,6146,7583,6262,5798
