"","row_ind","column_ind","values"
"621","MD0070500","y1993_8",-1
"622","UT0060700","y1993_6",-2
"623","OH0501400","y1993_6",-1
"624","PA0461400","y1993_5",-1
"625","WA0150100","y1993_4",-2
"626","CA0280000","y1993_4",-26
"627","CO0340000","y1993_3",-1
"628","VA0800100","y1993_2",-1
"629","OH0251200","y1993_2",-1
"630","CO0340000","y1993_2",-1
"631","NJ0181800","y1993_1",-1
"632","UT0250000","y1992_12",-1
"633","MI6388800","y1992_12",-1
"634","KS0260000","y1992_12",-2
"635","WA0170100","y1992_11",-1
"636","PA0670900","y1992_11",-1
"637","KS0570000","y1992_11",-1
"638","CA0370300","y1992_10",-1
"639","WA0310200","y1992_8",-1
"640","WA0180500","y1992_8",-1
"641","UT0061000","y1992_8",-1
"642","VA1180000","y1992_7",-1
"643","KS0080500","y1992_7",-1
"644","KS0870100","y1992_5",-1
"645","NH0031600","y1992_4",-1
"646","MO0950H00","y1992_4",-1
"647","MI7043200","y1992_4",-1
"648","CO0620000","y1992_2",-1
"649","CA0290200","y1992_2",-1
"650","UT0031600","y1992_1",-1
"651","UT0210100","y1991_12",-2
"652","NH0072400","y1991_12",-1
"653","NB0600100","y1991_12",-5
"654","OR011SP00","y1991_11",-1
"655","PA0380200","y1991_10",-1
"656","NC0070300","y1991_10",-1
"657","MO0954700","y1991_8",-1
"658","KS0660000","y1991_8",-5
"659","VA0600100","y1991_7",-1
"660","PA0361400","y1991_6",-1
"661","PA061SP00","y1991_6",-1
"662","NB0160100","y1991_6",-1
"663","KS0462000","y1991_5",-1
"664","UT0250700","y1991_4",-1
"665","NC0370000","y1991_3",-1
"666","CA0370300","y1991_2",-2
"667","PA0430400","y1991_1",-1
"668","PA0210800","y1990_12",-1
"669","NB0190100","y1990_12",-4
"670","KY0040000","y1990_12",-1
"671","KY0050100","y1990_12",-3
"672","CO0180500","y1990_12",-1
"673","AR0620100","y1990_12",-121
"674","NJ0121800","y1990_11",-1
"675","MD0010800","y1990_11",-1
"676","VA0020100","y1990_10",-2
"677","SC0320400","y1990_10",-1
"678","VA0020100","y1990_9",-2
"679","PA006SP00","y1990_9",-1
"680","KS0080000","y1990_8",-1
"681","KS0260000","y1990_8",-1
"682","NJ0152700","y1990_7",-1
"683","RI0050700","y1990_6",-1
"684","UT0030000","y1990_5",-1
"685","OH0671200","y1990_5",-1
"686","OH0431200","y1990_5",-1
"687","PA016SP00","y1990_4",-1
"688","OH0183400","y1990_4",-1
"689","NC0280200","y1990_4",-1
"690","OH0182600","y1990_3",-1
"691","PA054SP00","y1990_2",-1
"692","CO0540100","y1990_2",-1
"693","WA0310200","y1990_1",-1
"694","OH0720200","y1990_1",-1
"695","WA0270700","y1989_12",-1
"696","PA0670900","y1989_12",-1
"697","OH0291100","y1989_12",-1
"698","NC0110200","y1989_12",-1
"699","MO0952800","y1989_12",-1
"700","KS0610000","y1989_12",-1
"701","NC0240500","y1989_11",-1
"702","PA0660400","y1989_10",-2
"703","OH0183400","y1989_9",-1
"704","NJ0180600","y1989_9",-1
"705","KS0460300","y1989_9",-1
"706","CO0540000","y1989_9",-1
"707","PA0250100","y1989_8",-1
"708","OR031SP00","y1989_8",-1
"709","MO0160100","y1989_8",-1
"710","UT0290500","y1989_6",-1
"711","CO0430100","y1989_6",-1
"712","PA053SP00","y1989_5",-1
"713","UT0060200","y1989_4",-1
"714","VT0010200","y1989_3",-1
"715","PA029SP00","y1989_3",-1
"716","PA0095100","y1989_3",-1
"717","NH0070600","y1989_2",-2
"718","PA0461400","y1989_1",-1
"719","NC0140200","y1989_1",-1
"720","OH0182600","y1988_12",-1
"721","CO0030300","y1988_11",-1
"722","CA0071500","y1988_11",-1
"723","PA0280600","y1988_10",-1
"724","PA0221000","y1988_10",-1
"725","KS0462000","y1988_10",-2
"726","VT0140200","y1988_7",-1
"727","PA054SP00","y1988_7",-1
"728","CO0530000","y1988_6",-1
"729","OH0850300","y1988_5",-1
"730","CA001300X","y1988_5",-2
"731","NB0400000","y1988_4",-1
"732","CA0420100","y1988_4",-1
"733","PA059SP00","y1988_3",-1
"734","VT0060100","y1988_2",-1
"735","PA0360800","y1988_2",-1
"736","PA0092000","y1988_1",-1
"737","VA0750300","y1987_12",-163
"738","IN0530200","y1987_12",-2
"739","KS0670100","y1987_11",-1
"740","NH0010000","y1987_10",-1
"741","MO0958000","y1987_10",-1
"742","KS0810000","y1987_10",-2
"743","VA0600100","y1987_9",-1
"744","SC0080300","y1987_8",-1
"745","OR0060100","y1987_8",-1
"746","NC0410000","y1987_8",-1
"747","KS0810000","y1987_8",-1
"748","OH0311600","y1987_7",-1
"749","ID0010200","y1987_7",-1
"750","VT0080100","y1987_6",-1
"751","PA044SP00","y1987_6",-1
"752","MO0954400","y1987_6",-1
"753","OR0030000","y1987_5",-1
"754","NJ0150600","y1987_5",-4
"755","SC0310000","y1987_4",-1
"756","NJ0150600","y1987_4",-1
"757","KS0970100","y1987_3",-1
"758","KS0800000","y1987_3",-1
"759","PA0360800","y1987_2",-1
"760","UT0100000","y1987_1",-1
"761","CA0071500","y1987_1",-1
"762","VT0140400","y1986_12",-1
"763","KS0040000","y1986_9",-1
"764","KS0010100","y1986_9",-1
"765","KS0990000","y1986_8",-1
"766","KS0871000","y1986_8",-1
"767","VA0080000","y1986_6",-1
"768","PA005SP00","y1986_6",-1
"769","NH0062000","y1986_6",-1
"770","NH0064600","y1986_5",-1
"771","CA0400600","y1986_5",-1
"772","CO0030700","y1986_4",-1
"773","CA007230X","y1986_4",-1
"774","VA0300200","y1986_3",-1
"775","OH0291100","y1986_2",-1
"776","KS0460900","y1986_2",-2
"777","CA0193800","y1986_2",-2
"778","VA1070000","y1986_1",-1
"779","VA0440000","y1986_1",-1
"780","PA055SP00","y1986_1",-1
"781","OH0290100","y1986_1",-1
"782","NB0270100","y1986_1",-1
"783","VA0300000","y1985_12",-1
"784","NY0290000","y1985_12",-66
"785","CA0230400","y1985_12",-1
"786","VT0060100","y1985_11",-1
"787","PA025SP00","y1985_11",-1
"788","OH0060100","y1985_11",-1
"789","MD0172500","y1985_11",-4
"790","AR0660000","y1985_11",-5
"791","VT0080100","y1985_10",-1
"792","VT0010300","y1985_10",-1
"793","OH0571300","y1985_10",-1
"794","WA0330000","y1985_9",-1
"795","VT0130000","y1985_9",-1
"796","VA0960200","y1985_9",-1
"797","PA0351900","y1985_9",-1
"798","CA0070400","y1985_9",-36
"799","MT0320000","y1985_8",-1
"800","PA0221700","y1985_7",-2
"801","PA0451100","y1985_7",-1
"802","MO0958000","y1985_7",-1
"803","CA0197400","y1985_7",-1
"804","KS0560100","y1985_6",-1
"805","SC0400600","y1985_5",-1
"806","PA0320500","y1985_5",-1
"807","OH0310800","y1985_5",-1
"808","KS0810000","y1985_4",-1
"809","MN0750000","y1985_3",-1
"810","CO0030300","y1985_3",-2
"811","CA0301700","y1985_3",-1
"812","PA0481300","y1985_2",-1
"813","PA0380200","y1985_2",-1
"814","MO0958000","y1985_2",-1
"815","MN0050000","y1985_2",-1
"816","PA0231400","y1985_1",-1
