"","row_ind","column_ind","values"
"280","MO0954300","y2006_5",-1
"281","WA0030200","y2006_4",-1
"282","MD0110000","y2006_3",-1
"283","MO0951900","y2006_2",-1
"284","MO0481000","y2006_2",-1
"285","MD0160300","y2006_2",-1
"286","AK0010300","y2006_2",-1
"287","PA0140900","y2006_1",-1
"288","MD0160300","y2006_1",-1
"289","MO0957200","y2005_12",-1
"290","CA036310X","y2005_12",-1
"291","CA0310000","y2005_12",-1
"292","PA0023400","y2005_10",-1
"293","PA0670900","y2005_10",-1
"294","WY0130000","y2005_6",-1
"295","CO0070000","y2005_6",-1
"296","MO0480300","y2005_5",-1
"297","PA0170200","y2005_4",-1
"298","CA030420X","y2005_4",-1
"299","WY0130000","y2005_3",-1
"300","MO0480000","y2005_3",-1
"301","MO0920300","y2005_2",-1
"302","MO0959A00","y2005_2",-1
"303","MO0240000","y2005_2",-1
"304","CA0480600","y2005_2",-1
"305","CA0450000","y2005_1",-1
"306","CA030480X","y2005_1",-1
"307","IN0020000","y2004_12",-1
"308","WY0210100","y2004_11",-1
"309","CA0194000","y2004_11",-1
"310","CA0331700","y2004_11",-1
"311","MO0951400","y2004_10",-1
"312","IN0640300","y2004_10",-1
"313","CA007230X","y2004_10",-1
"314","PA0200100","y2004_9",-1
"315","CA0302300","y2004_8",-1
"316","CA0301100","y2004_8",-1
"317","MD0110000","y2004_6",-1
"318","PA0233200","y2004_3",-1
"319","MO0920000","y2004_3",-1
"320","CA0151100","y2004_3",-1
"321","MD0190000","y2004_2",-1
"322","CA0309700","y2004_2",-1
"323","IN0020200","y2004_1",-1
"324","CA056140X","y2003_12",-1
"325","AZ0040600","y2003_12",-1
"326","NJNYPOA00","y2003_11",-1
"327","IN0320300","y2003_11",-1
"328","OH0570500","y2003_10",-1
"329","PA0232700","y2003_9",-1
"330","PA0430400","y2003_9",-1
"331","IN0451300","y2003_9",-1
"332","CA0331800","y2003_9",-1
"333","WY0030000","y2003_8",-1
"334","MO0951800","y2003_8",-1
"335","MO0240900","y2003_8",-1
"336","WA0290100","y2003_7",-1
"337","MO0730000","y2003_7",-1
"338","CA0300600","y2003_7",-1
"339","CA0310100","y2003_6",-1
"340","PA0381200","y2003_5",-1
"341","MO0500700","y2003_5",-1
"342","CA0390100","y2003_3",-1
"343","LA0080000","y2003_2",-1
"344","CA0310000","y2003_2",-2
"345","CA0240000","y2003_2",-1
"346","PA0462900","y2003_1",-1
"347","GA1260100","y2003_1",-1
"348","CA0560000","y2002_12",-2
"349","MD0110000","y2002_10",-1
"350","PA0021700","y2002_9",-1
"351","OR0270200","y2002_9",-1
"352","PA0462100","y2002_8",-2
"353","PA0094500","y2002_8",-1
"354","NJ0150700","y2002_8",-1
"355","AZ0072700","y2002_8",-1
"356","WY0030100","y2002_7",-1
"357","NV0160000","y2002_7",-1
"358","MO0500700","y2002_7",-1
"359","MD0130200","y2002_7",-1
"360","CA037A300","y2002_6",-1
"361","WA0170200","y2002_4",-1
"362","OH0090500","y2001_12",-1
"363","MO0160100","y2001_12",-1
"364","CA030480X","y2001_12",-1
"365","OH0090500","y2001_11",-1
"366","CA030350X","y2001_11",-1
"367","PA0463100","y2001_9",-1
"368","MO0360000","y2001_8",-2
"369","NH0082200","y2001_7",-1
"370","AZ0020900","y2001_5",-1
"371","MS0610100","y2001_4",-1
"372","GA0310500","y2001_4",-9
"373","CO0070600","y2001_4",-1
"374","AZ0020000","y2001_4",-1
"375","WA0190100","y2001_3",-1
"376","CA0540500","y2001_3",-1
"377","CA0301700","y2001_3",-1
"378","WA0060200","y2001_2",-1
"379","MD0210100","y2001_2",-1
"380","IN0290700","y2001_2",-1
"381","WA0170600","y2001_1",-1
"382","PA0362000","y2000_11",-1
"383","PA0010200","y2000_11",-1
"384","MO0481000","y2000_11",-1
"385","CA0191F00","y2000_11",-1
"386","PA0095100","y2000_9",-1
"387","NJ0030600","y2000_9",-1
"388","CO0070000","y2000_9",-1
"389","PA0460800","y2000_8",-1
"390","NM0250100","y2000_8",-1
"391","MO0955200","y2000_8",-1
"392","CO0340000","y2000_8",-1
"393","WA0140100","y2000_7",-1
"394","OH0550300","y2000_7",-1
"395","CO0340100","y2000_7",-1
"396","CA0310000","y2000_7",-1
"397","PA0461500","y2000_6",-1
"398","OR0340400","y2000_6",-1
"399","MO0920000","y2000_6",-1
"400","MO0950200","y2000_6",-1
"401","CA033310X","y2000_6",-1
"402","CA0109700","y2000_6",-1
"403","PA0463700","y2000_5",-1
"404","PA0462900","y2000_5",-1
"405","MD0060000","y2000_5",-1
"406","WY0030100","y2000_4",-1
"407","WA0172400","y2000_4",-1
"408","OR0220100","y2000_4",-1
"409","OR0090100","y2000_4",-1
"410","OR0100600","y2000_4",-1
"411","CO0010800","y2000_4",-1
"412","MO0953800","y2000_2",-1
"413","CA0510200","y2000_2",-1
"414","CA0310000","y2000_2",-1
"415","OH0571300","y2000_1",-1
"416","IN0640200","y2000_1",-1
"417","NJ0132600","y1999_12",-1
"418","MO0190200","y1999_12",-1
"419","NJ0030600","y1999_11",-1
"420","CA0301100","y1999_11",-1
"421","WA0390100","y1999_10",-1
"422","PA0400100","y1999_10",-1
"423","NB0790100","y1999_10",-1
"424","WY0030100","y1999_9",-1
"425","IN0290700","y1999_9",-1
"426","UT0020100","y1999_8",-1
"427","RI0020300","y1999_8",-1
"428","MO0953800","y1999_8",-1
"429","LA0100800","y1999_8",-1
"430","IN0320300","y1999_8",-1
"431","CA0440000","y1999_7",-1
"432","PA0211500","y1999_6",-1
"433","MO0951900","y1999_6",-1
"434","IN0290700","y1999_6",-1
"435","CA0196700","y1999_6",-1
"436","WY0210100","y1999_5",-1
"437","MO0160000","y1999_5",-1
"438","MO0240000","y1999_5",-1
"439","OH0252700","y1999_4",-1
"440","MA0094800","y1999_4",-1
"441","PA0211500","y1999_3",-1
"442","CO0070000","y1999_3",-1
"443","IN0290700","y1999_2",-1
"444","AZ0080000","y1999_2",-1
"445","PA0025600","y1998_12",-1
"446","OH0571300","y1998_12",-2
"447","OH0600000","y1998_12",-1
"448","OR0230000","y1998_11",-1
"449","OH0771300","y1998_11",-1
"450","IN0290000","y1998_11",-1
"451","WY0110100","y1998_10",-1
"452","OR0220100","y1998_10",-1
"453","NBNSP6400","y1998_6",-1
"454","MO0100000","y1998_6",-1
"455","CO0010200","y1998_6",-1
"456","WA0230400","y1998_5",-1
"457","TN0270100","y1998_5",-1
"458","CO0220100","y1998_5",-1
"459","VA0420000","y1998_4",-1
"460","MO0500700","y1998_4",-1
"461","NJ0042500","y1998_3",-1
"462","MO0956200","y1998_3",-1
"463","NJ0132600","y1998_2",-1
"464","VA0290300","y1998_1",-1
"465","PA0250900","y1998_1",-1
"466","OH0290300","y1998_1",-1
"467","CA0400000","y1998_1",-1
"468","CA0310100","y1998_1",-1
"469","PA0360800","y1997_12",-1
"470","OH0390200","y1997_12",-1
"471","NJ0111000","y1997_12",-1
"472","MD0040200","y1997_12",-1
"473","NJ0030600","y1997_11",-6
"474","PA0151000","y1997_10",-1
"475","AR0630100","y1997_10",-1
"476","PA0141100","y1997_9",-1
"477","OH0771300","y1997_8",-1
"478","TN0790100","y1997_7",-1
"479","UT0060200","y1997_6",-1
"480","PA0221700","y1997_6",-1
"481","MO0955200","y1997_6",-1
"482","WY0190200","y1997_5",-1
"483","OR0150500","y1997_5",-1
"484","NJ0135000","y1997_4",-1
"485","PA0360800","y1997_3",-1
"486","PA023SP00","y1997_3",-1
"487","LA0260200","y1997_3",-2
"488","AZ0020900","y1997_3",-1
"489","PA0362300","y1997_2",-2
"490","VA0020100","y1997_1",-1
"491","NJ0132600","y1997_1",-1
"492","CA030420X","y1997_1",-3
"493","OH0430000","y1996_12",-1
"494","PA0630400","y1996_11",-1
"495","MO0957200","y1996_11",-1
"496","MD0172500","y1996_11",-1
"497","IN0540100","y1996_11",-1
"498","CA0411100","y1996_11",-1
"499","PA0221700","y1996_10",-1
"500","PA010SP00","y1996_10",-1
"501","TN0280100","y1996_9",-1
"502","MO0260100","y1996_9",-1
"503","MD0130100","y1996_9",-2
"504","CA0390600","y1996_9",-1
"505","PA024SP00","y1996_7",-1
"506","NJ0134000","y1996_7",-1
"507","NB0070100","y1996_7",-1
"508","MO0955600","y1996_7",-1
"509","UT0020100","y1996_5",-1
"510","MO0950400","y1996_5",-2
"511","PA0250100","y1996_4",-1
"512","NH0031800","y1996_3",-1
"513","MO0954300","y1996_3",-1
"514","MI4904900","y1996_3",-1
"515","CA030420X","y1996_3",-1
"516","NJ0143500","y1996_2",-1
"517","MO0954800","y1996_2",-1
"518","MO0950400","y1996_2",-1
"519","MD0040200","y1996_2",-1
"520","CO0070600","y1996_2",-1
"521","PA0141100","y1996_1",-1
"522","MD0110000","y1996_1",-1
"523","VA1090000","y1995_12",-1
"524","NJ0201600","y1995_12",-2
"525","CA0412000","y1995_12",-1
"526","AZ0071500","y1995_12",-1
"527","WY0190000","y1995_11",-1
"528","VA0290200","y1995_11",-1
"529","PA022SP00","y1995_11",-1
"530","MI7043200","y1995_11",-1
"531","CO0220100","y1995_11",-1
"532","CA0192J0X","y1995_11",-1
"533","PA049SP00","y1995_10",-1
"534","NJ0132800","y1995_10",-1
"535","MD0060200","y1995_9",-1
