States,Years,Numbers
MT,1992,1186
NC,1992,45768
ND,1992,539
NE,1992,4556
NH,1992,1296
NJ,1992,48748
NM,1992,11040
NV,1992,8623
NY,1992,202659
OH,1992,52722
OK,1992,19965
OR,1992,15087
PA,1992,48833
RI,1992,3965
SC,1992,34637
SD,1992,1333
TN,1992,34098
TX,1992,142349
UT,1992,5210
VA,1992,23918
VT,1992,504
WA,1992,27275
WI,1992,13766
WV,1992,3832
WY,1992,1488
AL,1993,31774
AR,1993,14307
AZ,1993,27349
CA,1993,336147
CO,1993,19957
CT,1993,14960
DE,1993,3126
FL,1993,161487
GA,1993,47606
IA,1993,6883
ID,1993,3222
IL,1993,83710
IN,1993,22799
KS,1993,4942
KY,1993,17169
LA,1993,39737
MA,1993,41046
MD,1993,49535
ME,1993,1577
MI,1993,66843
MN,1993,13961
MO,1993,37209
MS,1993,7789
MT,1993,591
NC,1993,46333
ND,1993,510
NE,1993,6076
NH,1993,1311
NJ,1993,49396
NM,1993,10866
NV,1993,10884
NY,1993,194759
OH,1993,49331
OK,1993,20509
OR,1993,15183
PA,1993,48019
RI,1993,4020
SC,1993,37598
SD,1993,1349
TN,1993,35666
TX,1993,137435
UT,1993,5487
VA,1993,24166
VT,1993,344
WA,1993,26634
WI,1993,13305
WV,1993,3791
WY,1993,1358
AL,1994,28276
AR,1994,14571
AZ,1994,28019
CA,1994,317543
CO,1994,18208
CT,1994,14919
DE,1994,2222
FL,1994,157552
GA,1994,45050
IA,1994,7328
ID,1994,3224
IL,1994,86264
IN,1994,24586
KS,1994,2351
KY,1994,22689
LA,1994,39996
MA,1994,38259
MD,1994,47463
ME,1994,1600
MI,1994,68938
MN,1994,16347
MO,1994,37209
MS,1994,8997
MT,1994,
NC,1994,45559
ND,1994,522
NE,1994,6304
NH,1994,1130
NJ,1994,48549
NM,1994,11864
NV,1994,14520
NY,1994,175379
OH,1994,49128
OK,1994,21209
OR,1994,16007
PA,1994,48574
RI,1994,3746
SC,1994,38570
SD,1994,1373
TN,1994,34401
TX,1994,129854
UT,1994,5717
VA,1994,23311
VT,1994,525
WA,1994,27212
WI,1994,13714
WV,1994,3934
WY,1994,1297
AL,1995,26430
AR,1995,13717
AZ,1995,29169
CA,1995,296629
CO,1995,15917
CT,1995,13228
DE,1995,1846
FL,1995,149868
GA,1995,45664
IA,1995,8066
ID,1995,3726
IL,1995,74354
IN,1995,24684
KS,1995,3692
KY,1995,12911
LA,1995,42146
MA,1995,38359
MD,1995,49754
ME,1995,1642
MI,1995,62563
MN,1995,16329
MO,1995,33534
MS,1995,8389
MT,1995,266
NC,1995,45998
ND,1995,538
NE,1995,6196
NH,1995,982
NJ,1995,47652
NM,1995,10263
NV,1995,14293
NY,1995,150820
OH,1995,46694
OK,1995,21756
OR,1995,16076
PA,1995,47229
RI,1995,3643
SC,1995,36983
SD,1995,1352
TN,1995,35989
TX,1995,124247
UT,1995,6160
VA,1995,23909
