States,Years,Numbers
KY,2018,11242
LA,2018,24463
MA,2018,24871
MD,2018,28563
ME,2018,1665
MI,2018,50356
MN,2018,12561
MO,2018,31162
MS,2018,4531
MT,2018,4520
NC,2018,33071
ND,2018,2381
NE,2018,5860
NH,2018,2811
NJ,2018,18536
NM,2018,16797
NV,2018,17163
NY,2018,68265
OH,2018,37955
OK,2018,19335
OR,2018,13617
PA,2018,39229
RI,2018,2700
SC,2018,27042
SD,2018,3560
TN,2018,45324
TX,2018,122851
UT,2018,8551
VA,2018,19486
VT,2018,1407
WA,2018,26573
WI,2018,18483
WV,2018,5208
WY,2018,1075
AL,2019,9655
AR,2019,18809
AZ,2019,32735
CA,2019,173320
CO,2019,24942
CT,2019,7198
DE,2019,4363
FL,2019,81183
GA,2019,28163
IA,2019,9930
ID,2019,4931
IL,2019,51618
IN,2019,21447
KS,2019,12083
KY,2019,11389
LA,2019,25143
MA,2019,24002
MD,2019,27843
ME,2019,1850
MI,2019,48322
MN,2019,14185
MO,2019,31294
MS,2019,4770
MT,2019,5042
NC,2019,39534
ND,2019,2537
NE,2019,6138
NH,2019,2552
NJ,2019,18420
NM,2019,16153
NV,2019,15326
NY,2019,69423
OH,2019,38008
OK,2019,18218
OR,2019,13574
PA,2019,36823
RI,2019,2724
SC,2019,27695
SD,2019,3509
TN,2019,43773
TX,2019,128414
UT,2019,8618
VA,2019,20064
VT,2019,1531
WA,2019,26150
WI,2019,18503
WV,2019,5286
WY,2019,1139
AL,2020,10632
AR,2020,21783
AZ,2020,35886
CA,2020,173941
CO,2020,27785
CT,2020,7046
DE,2020,4582
FL,2020,83199
GA,2020,29488
IA,2020,10621
ID,2020,5316
IL,2020,51362
IN,2020,25548
KS,2020,12630
KY,2020,13363
LA,2020,28382
MA,2020,22780
MD,2020,25135
ME,2020,1819
MI,2020,52655
MN,2020,17039
MO,2020,34611
MS,2020,6381
MT,2020,5792
NC,2020,47033
ND,2020,2898
NE,2020,6350
NH,2020,2418
NJ,2020,17363
NM,2020,15833
NV,2020,15587
NY,2020,70300
OH,2020,39621
OK,2020,19529
OR,2020,13747
PA,2020,33333
RI,2020,2754
SC,2020,29053
SD,2020,4637
TN,2020,49277
TX,2020,141558
UT,2020,8985
VA,2020,20208
VT,2020,1380
WA,2020,25514
WI,2020,20354
WV,2020,5859
WY,2020,1380
AL,2021,15730
AR,2021,22486
AZ,2021,14061
CA,2021,38940
CO,2021,30744
CT,2021,6943
DE,2021,4504
FL,2021,19726
GA,2021,37485
IA,2021,10128
ID,2021,5346
IL,2021,24029
IN,2021,22015
KS,2021,13490
KY,2021,13554
LA,2021,28602
MA,2021,22593
MD,2021,16002
ME,2021,2018
MI,2021,53376
MN,2021,19859
MO,2021,33677
MS,2021,4958
MT,2021,5828
NC,2021,46038
ND,2021,2408
NE,2021,3635
NH,2021,2368
NJ,2021,12769
NM,2021,16253
NV,2021,15139
NY,2021,11100
OH,2021,40108
OK,2021,19278
OR,2021,15855
PA,2021,23557
RI,2021,2525
SC,2021,28427
SD,2021,3805
TN,2021,49378
TX,2021,144405
UT,2021,9946
VA,2021,21500
VT,2021,1479
WA,2021,28660
WI,2021,20810
WV,2021,5366
WY,2021,1268
AL,2022,20076
AR,2022,21284
AZ,2022,30586
CA,2022,198553
CO,2022,31658
CT,2022,6179
DE,2022,4187
FL,2022,58036
GA,2022,40187
IA,2022,9868
ID,2022,5520
IL,2022,37170
IN,2022,21538
KS,2022,13379
KY,2022,11139
LA,2022,27325
MA,2022,24200
MD,2022,27338
ME,2022,1894
MI,2022,49797
MN,2022,18135
MO,2022,31835
MS,2022,4724
MT,2022,5329
NC,2022,44842
ND,2022,2618
NE,2022,6167
NH,2022,2264
NJ,2022,19353
NM,2022,16612
NV,2022,16114
NY,2022,84859
OH,2022,38857
OK,2022,18910
OR,2022,16064
PA,2022,33509
RI,2022,2211
SC,2022,27960
SD,2022,3725
TN,2022,47146
TX,2022,141827
UT,2022,9813
VA,2022,22524
VT,2022,1688
WA,2022,32087
WI,2022,19633
WV,2022,5301
WY,2022,1228
AL,2023,19090
AR,2023,20062
AZ,2023,28363
CA,2023,205780
CO,2023,29905
CT,2023,6016
DE,2023,4060
FL,2023,45256
GA,2023,35241
IA,2023,9552
ID,2023,5162
IL,2023,40513
IN,2023,23080
KS,2023,12686
KY,2023,11268
LA,2023,24526
MA,2023,23075
MD,2023,27697
ME,2023,1802
MI,2023,48584
MN,2023,16661
MO,2023,29643
MS,2023,3689
MT,2023,5481
NC,2023,42550
ND,2023,2410
NE,2023,3876
NH,2023,1820
NJ,2023,20287
NM,2023,15545
NV,2023,14508
NY,2023,77829
OH,2023,36928
OK,2023,18475
OR,2023,15038
PA,2023,34200
RI,2023,2151
SC,2023,26587
SD,2023,3381
TN,2023,46850
TX,2023,134605
UT,2023,9267
VA,2023,22346
VT,2023,1534
WA,2023,30163
WI,2023,18492
WV,2023,4841
WY,2023,1272
